session,frame,grid,variant,orientation,matched,mismatched,partner
20241219_050648,20241219_050648_000028,4,full,0,-0.0418197750670302,-0.0881320587300114,20241219_050648_000056
20241219_050648,20241219_050648_000029,4,full,0,-0.06438011202777838,-0.04427806536876031,20241219_050648_000017
20241219_050648,20241219_050648_000030,4,full,0,0.14204202556005688,0.0756919245490114,20241219_050648_000004
20241219_050648,20241219_050648_000031,4,full,0,0.49282151705079213,0.5527194943120333,20241219_050648_000048
20241219_050648,20241219_050648_000032,4,full,0,0.08145610610923759,-0.026310918109963954,20241219_050648_000024
20241219_050648,20241219_050648_000033,4,full,0,0.01283890244572651,0.005602932944415158,20241219_050648_000060
20241219_050648,20241219_050648_000034,4,full,0,0.22583281595132865,0.2084175191079282,20241219_050648_000019
20241219_050648,20241219_050648_000035,4,full,0,-0.029310070354594726,0.04744716979516134,20241219_050648_000032
20241219_050648,20241219_050648_000036,4,full,0,0.13934535093699577,0.12387451986349275,20241219_050648_000026
20241219_050648,20241219_050648_000037,4,full,0,-0.135942848898558,-0.09882788951659677,20241219_050648_000059
20241219_050648,20241219_050648_000038,4,full,0,-0.22926359017220452,-0.22029639785974378,20241219_050648_000000
20241219_050648,20241219_050648_000039,4,full,0,-0.14987670421898372,-0.06522880437413514,20241219_050648_000011
20241219_050648,20241219_050648_000040,4,full,0,0.1746513167065655,0.13078782959306268,20241219_050648_000028
20241219_050648,20241219_050648_000041,4,full,0,-0.014888490496673226,-0.0017340186615286135,20241219_050648_000038
20241219_050648,20241219_050648_000042,4,full,0,-0.15379424347814744,-0.19001894745849088,20241219_050648_000007
20241219_050648,20241219_050648_000043,4,full,0,-0.037196049020081334,-0.009887325666400456,20241219_050648_000061
20241219_050648,20241219_050648_000044,4,full,0,-0.05570753091283046,0.11243223053643181,20241219_050648_000033
20241219_050648,20241219_050648_000045,4,full,0,-0.09101130581131554,-0.05714317180867288,20241219_050648_000021
20241219_050648,20241219_050648_000046,4,full,0,0.13500452077466463,0.00714919010430078,20241219_050648_000047
20241219_050648,20241219_050648_000047,4,full,0,-0.15873782286828045,-0.1531147538988308,20241219_050648_000054
20241219_050648,20241219_050648_000048,4,full,0,-0.1382275220342855,-0.1442006971892308,20241219_050648_000052
20241219_050648,20241219_050648_000049,4,full,0,0.18379746186261656,-0.003915858379526349,20241219_050648_000003
20241219_050648,20241219_050648_000050,4,full,0,0.05587795649637594,0.028104192721011684,20241219_050648_000049
20241219_050648,20241219_050648_000051,4,full,0,0.03484960259689657,0.1166498224065458,20241219_050648_000013
20241219_050648,20241219_050648_000052,4,full,0,0.14425887459047704,0.10883046501251814,20241219_050648_000043
20241219_050648,20241219_050648_000053,4,full,0,0.01535706706829428,0.0506204966422257,20241219_050648_000044
20241219_050648,20241219_050648_000054,4,full,0,0.18886763442035848,0.1739858129970815,20241219_050648_000010
20241219_050648,20241219_050648_000055,4,full,0,0.1358190393879239,0.14904949037319482,20241219_050648_000036
