timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/09/08 00:47:01.497, 27955 MiB, 81920 MiB, 52 %, 219.97 W, 46
2026/09/08 00:47:31.500, 27955 MiB, 81920 MiB, 87 %, 147.94 W, 50
2026/09/08 00:48:01.502, 27955 MiB, 81920 MiB, 60 %, 90.16 W, 43
2026/09/08 00:48:31.503, 27955 MiB, 81920 MiB, 66 %, 153.11 W, 46
2026/09/08 00:49:01.505, 27955 MiB, 81920 MiB, 0 %, 90.35 W, 43
2026/09/08 00:49:31.506, 27955 MiB, 81920 MiB, 89 %, 364.44 W, 47
2026/09/08 00:50:01.507, 27955 MiB, 81920 MiB, 0 %, 89.66 W, 42
2026/09/08 00:50:31.509, 27955 MiB, 81920 MiB, 36 %, 112.65 W, 44
2026/09/08 00:51:01.510, 27955 MiB, 81920 MiB, 0 %, 90.35 W, 43
2026/09/08 00:51:31.512, 27955 MiB, 81920 MiB, 3 %, 75.54 W, 41
2026/09/08 00:52:01.513, 27955 MiB, 81920 MiB, 0 %, 90.35 W, 43
2026/09/08 00:52:31.515, 27955 MiB, 81920 MiB, 56 %, 164.34 W, 44
